,,,,,Passing,,,,,,,,,Rushing,,,
35,Andrew Robinson,Syracuse,Big East,11,154,292,52.7,2192,7.5,7.3,13,7,125.7,95,-39,-0.4,0
36,Shaun Carney*,Air Force,MWC,13,125,201,62.2,1491,7.4,7.2,9,5,134.3,135,637,4.7,6
37,T.J. Yates,North Carolina,ACC,12,218,365,59.7,2655,7.3,5.8,14,18,123.6,73,-123,-1.7,2
38,Matthew Stafford*,Georgia,SEC,13,194,348,55.7,2523,7.3,7,19,10,128.9,39,-18,-0.5,2
39,Kyle Israel*,UCF,CUSA,14,174,298,58.4,2173,7.3,6.6,15,11,128.9,90,178,2,5
40,Andre Woodson*,Kentucky,SEC,13,327,518,63.1,3709,7.2,7.7,40,11,144.5,69,-193,-2.8,3
41,Tim Hiller,Western Michigan,MAC,12,267,421,63.4,3021,7.2,6.5,20,15,132.2,50,-69,-1.4,2
42,Donovan Porterie*,New Mexico,MWC,13,244,418,58.4,3006,7.2,6.9,15,9,126.3,58,-34,-0.6,0
43,Brian Hoyer*,Michigan State,Big Ten,13,223,376,59.3,2725,7.2,7,20,11,131.9,47,-105,-2.2,1
44,Kyle Wright,Miami (FL),ACC,10,141,241,58.5,1747,7.2,5.6,12,14,124.2,87,66,0.8,3
45,Chase Holbrook,New Mexico State,WAC,12,381,543,70.2,3866,7.1,6.6,26,18,139.1,55,5,0.1,2
46,Justin Willis,SMU,CUSA,12,242,414,58.5,2944,7.1,6.4,25,18,129.4,180,699,3.9,3
47,Aaron Opelt,Toledo,MAC,9,144,249,57.8,1756,7.1,6.8,12,7,127.4,46,156,3.4,4
48,Willie Tuitama,Arizona,Pac-10,12,327,524,62.4,3683,7,7.1,28,12,134.5,54,-163,-3,3
49,C.J. Bacher,Northwestern,Big Ten,12,318,521,61,3656,7,6.1,19,19,124.7,86,31,0.4,4
50,Kevin O'Connell,San Diego State,MWC,12,257,439,58.5,3063,7,6.8,15,8,124.8,135,408,3,11
51,Chad Henne*,Michigan,Big Ten,10,162,278,58.3,1938,7,6.7,17,9,130.5,24,-120,-5,0
52,Matt Ryan*,Boston College,ACC,14,388,654,59.3,4507,6.9,6.5,31,19,127,68,2,0,2
53,Tyler Sheehan*,Bowling Green State,MAC,13,303,476,63.7,3264,6.9,6.8,23,11,132.6,93,148,1.6,3
54,Kellen Lewis*,Indiana,Big Ten,13,265,442,60,3043,6.9,7.1,28,10,134.2,147,736,5,9
55,Cullen Harper*,Clemson,ACC,13,282,433,65.1,2991,6.9,7.5,27,6,141,71,-89,-1.3,3
56,John David Booty*,USC,Pac-10,10,215,340,63.2,2361,6.9,7,23,10,138,23,-106,-4.6,1
57,Curtis Painter*,Purdue,Big Ten,13,356,569,62.6,3846,6.8,6.9,29,11,132.3,53,-20,-0.4,3
58,Erik Ainge*,Tennessee,SEC,14,325,519,62.6,3522,6.8,7.1,31,10,135.5,16,-32,-2,0
59,Matt Grothe*,South Florida,Big East,13,232,392,59.2,2670,6.8,5.9,14,14,121,198,872,4.4,10
60,Drew Willy,Buffalo,MAC,12,258,377,68.4,2572,6.8,6.9,15,6,135.7,60,-44,-0.7,2
61,Thaddeus Lewis,Duke,ACC,12,199,360,55.3,2430,6.8,6.7,21,10,125.7,96,-148,-1.5,2
62,Tyler Lorenzen*,Connecticut,Big East,13,197,347,56.8,2367,6.8,6.8,13,6,123,133,328,2.5,1
63,Riley Skinner*,Wake Forest,ACC,11,236,326,72.4,2204,6.8,5.7,12,13,133.4,61,32,0.5,1
64,Brian Johnson*,Utah,MWC,11,181,272,66.5,1847,6.8,5.9,11,10,129.6,85,150,1.8,2
65,Leon Jackson III,Utah State,WAC,12,151,231,65.4,1576,6.8,6.8,9,4,132.1,142,338,2.4,6
66,Anthony Scelfo,Tulane,CUSA,12,111,205,54.1,1396,6.8,5.9,6,7,114.2,57,171,3,1
67,Patrick Pinkney*,East Carolina,CUSA,13,121,200,60.5,1358,6.8,7,11,4,131.7,79,306,3.9,1
68,Dan Lefevour*,Central Michigan,MAC,14,355,543,65.4,3652,6.7,6.6,27,13,133.5,188,1122,6,19
69,Josh Freeman,Kansas State,Big 12,12,316,499,63.3,3353,6.7,6.4,18,11,127.3,53,-40,-0.8,4
70,Nate Longshore*,California,Pac-10,12,230,384,59.9,2580,6.7,6,16,13,123.3,19,-44,-2.3,1
71,Matt Flynn*,LSU,SEC,12,202,359,56.3,2407,6.7,6.5,21,11,125.8,100,215,2.2,4
72,Seth Adams,Ole Miss,SEC,11,163,297,54.9,1979,6.7,5,12,16,113.4,47,-27,-0.6,1
73,Chase Clement,Rice,CUSA,12,300,508,59.1,3377,6.6,6.4,29,16,127.4,144,535,3.7,8
74,Anthony Morelli*,Penn State,Big Ten,13,234,402,58.2,2651,6.6,6.4,19,10,124.2,48,-13,-0.3,0
75,Andy Dalton*,Texas Christian,MWC,13,222,371,59.8,2459,6.6,5.8,10,11,118.5,98,232,2.4,5
76,Brandon Cox*,Auburn,SEC,13,188,316,59.5,2080,6.6,5.3,9,13,116,47,-96,-2,2
77,Dan Nicholson,Northern Illinois,MAC,9,151,248,60.9,1633,6.6,4.8,9,14,116.9,21,-66,-3.1,0
78,Cody Hawkins*,Colorado,Big 12,13,263,463,56.8,3015,6.5,5.8,22,17,119.8,41,-19,-0.5,3
79,Taylor Bennett*,Georgia Tech,ACC,13,162,327,49.5,2136,6.5,5.7,7,9,106,44,-13,-0.3,4
80,Juice Williams*,Illinois,Big Ten,13,153,267,57.3,1743,6.5,5.5,13,12,119.2,165,755,4.6,7
81,Casey Dick*,Arkansas,SEC,13,150,262,57.3,1695,6.5,6.1,18,10,126.6,11,-77,-7,0
82,Jeremy Young*,Southern Mississippi,CUSA,10,120,224,53.6,1464,6.5,5.9,11,8,117.5,81,349,4.3,4
83,Adam Weber,Minnesota,Big Ten,12,258,449,57.5,2895,6.4,5.6,24,19,120.8,146,617,4.2,5
84,Daniel Raudabaugh,Miami (OH),MAC,11,209,382,54.7,2431,6.4,5.6,12,12,112.3,38,27,0.7,0
85,Corey Leonard,Arkansas State,Sun Belt,11,182,349,52.1,2235,6.4,5.4,16,15,112.5,171,547,3.2,5
86,Drew Weatherford*,Florida State,ACC,11,181,318,56.9,2049,6.4,6.6,9,3,118.5,62,112,1.8,3
87,Omar Haugabook,Troy,Sun Belt,12,291,475,61.3,2975,6.3,5.6,18,15,120.1,156,616,3.9,11
88,Stephen McGee*,Texas A&M,Big 12,13,211,364,58,2311,6.3,6,12,8,117.8,181,899,5,5
89,Jake Locker,Washington,Pac-10,12,155,328,47.3,2062,6.3,5.1,14,15,105,172,986,5.7,13
90,Travis Dixon,UNLV,MWC,12,159,299,53.2,1873,6.3,5.6,8,8,109.3,132,324,2.5,2
91,Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,12,174,294,59.2,1866,6.3,5.7,13,10,120.3,107,398,3.7,1
92,Andy Schmitt,Eastern Michigan,MAC,11,164,255,64.3,1613,6.3,6.4,14,6,130.9,67,279,4.2,6
93,John Parker Wilson*,Alabama,SEC,13,255,462,55.2,2846,6.2,5.8,18,12,114.6,81,104,1.3,5
94,Blake Szymanski,Baylor,Big 12,11,264,461,57.3,2844,6.2,5.4,22,18,117,61,98,1.6,1
95,Giovanni Vizza,North Texas,Sun Belt,10,223,383,58.2,2388,6.2,4.8,17,20,114.8,133,299,2.2,2
96,Carson Williams,Army,Ind,12,151,287,52.6,1770,6.2,5.1,11,12,108.7,37,-123,-3.3,0
97,Jake Christensen,Iowa,Big Ten,12,198,370,53.5,2269,6.1,6.3,17,6,116.9,99,0,0,1
98,Jameel Sewell*,Virginia,ACC,13,214,364,58.8,2176,6,5.5,12,9,114.9,126,279,2.2,4
99,Daniel Evans,North Carolina State,ACC,12,194,339,57.2,2030,6,5,12,13,111.5,35,-119,-3.4,1
100,Nathan Enderle,Idaho,WAC,10,132,298,44.3,1787,6,3.9,10,18,93.7,52,-75,-1.4,1
101,Pat Bostick,Pitt,Big East,10,155,252,61.5,1500,6,4.3,8,13,111.7,25,-131,-5.2,2
102,Chris Jacquemain,Akron,MAC,11,154,275,56,1623,5.9,5.1,11,10,111.5,48,-44,-0.9,0
103,Sam Hunt,UAB,CUSA,12,155,331,46.8,1905,5.8,4.5,10,14,96.7,68,287,4.2,2
104,Sean Canfield*,Oregon State,Pac-10,11,165,286,57.7,1661,5.8,4.1,9,15,106.4,36,-115,-3.2,0
105,Michael Desormeaux,Louisiana,Sun Belt,11,133,242,55,1405,5.8,4.8,10,10,109.1,188,1141,6.1,7
106,Tavita Pritchard,Stanford,Pac-10,9,97,194,50,1114,5.7,4.2,5,9,97.5,66,45,0.7,0
107,Mackenzi Adams,Vanderbilt,SEC,12,101,182,55.5,1043,5.7,5.2,9,6,113.4,87,289,3.3,3
108,Zac Champion,Louisiana Tech,WAC,12,227,395,57.5,2221,5.6,5.1,13,10,110.5,88,-24,-0.3,1
109,Bret Meyer,Iowa State,Big 12,12,233,382,61,2151,5.6,4.6,9,13,109.3,95,292,3.1,3
110,Karsten Sween,Wyoming,MWC,12,215,359,59.9,2028,5.6,4.2,12,17,108.9,69,-121,-1.8,0
111,Wesley Carroll*,Mississippi State,SEC,13,134,255,52.5,1392,5.5,4.9,9,7,104.6,47,67,1.4,0
112,Wayne Younger,Florida International,Sun Belt,11,121,265,45.7,1357,5.1,2.9,9,17,87.1,127,536,4.2,2
113,Jimmy Clausen,Notre Dame,Ind,10,138,245,56.3,1254,5.1,4.6,7,6,103.9,62,-187,-3,2
